episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
28,-30106.812913325368,29047.26517044454,295676.47318282636,105954.77428808797,0.35875,0.3350000000000001,57.5,245280,60821,245,2.1763568217351557,4.302487373352051,105.6434326171875,108.51109313964844,16.385009765625,3743,3167,1850
29,-30208.999614306358,29023.37592192405,296467.36164820084,118562.36923822615,0.3350000000000001,0.31125,10.0,254040,63011,254,2.1993069601657727,4.458411693572998,104.9442367553711,107.29335021972656,16.288780212402344,3384,3194,2182
30,-30124.905358410706,29023.71663974029,296599.79483933625,110118.87186703525,0.31125,0.2875000000000001,10.0,262800,65201,262,2.3181714386156163,5.250831127166748,104.9151840209961,107.77903747558594,19.452585220336914,2946,3159,2655
31,-30055.228828273746,28887.098139077072,296673.17409695435,116813.06891966662,0.2875000000000001,0.26375000000000004,23.195789473684208,271560,67391,271,2.2995980214038396,4.542959213256836,105.74222564697266,109.15438842773438,18.90726089477539,3045,2816,2899
32,-29997.69011174362,28835.706562020558,296775.5884626044,116198.35497229817,0.26375000000000004,0.24,57.5,280320,69581,280,2.2798705565330644,4.418944358825684,106.77461242675781,107.22398376464844,19.205785751342773,2838,2944,2978
33,-29892.308396834353,28719.223581294184,295902.6568199457,117308.48155401566,0.24,0.21625000000000005,10.0,289080,71771,289,2.218020120684959,4.24375057220459,106.40542602539062,103.54789733886719,17.65463638305664,3197,2777,2786
34,-29913.198747649138,28751.522811970397,296258.87056786823,116167.59356786587,0.21625000000000005,0.1925,21.762105263157892,297840,73961,297,2.2394810718488474,4.3756208419799805,105.25772857666016,104.09941101074219,15.987649917602539,3140,2678,2942
35,-29866.34676609853,28669.126002885256,295999.7394238237,119722.07632132844,0.1925,0.16875000000000007,10.0,306600,76151,306,2.2569773843843643,4.939647674560547,101.2969741821289,102.45555877685547,15.934576034545898,3302,2487,2971
36,-29799.11694452114,28665.031776875658,295401.6535484774,113408.51676454186,0.16875000000000007,0.14500000000000002,10.0,315360,78341,315,2.242065412404875,4.698697566986084,99.76688385009766,101.54196166992188,19.670469284057617,3073,2661,3026
37,-29627.3219491052,28489.22660658435,295318.84705540247,113809.5342520767,0.14500000000000002,0.12124999999999997,10.0,324120,80531,324,2.2647869145761343,4.475769519805908,100.19495391845703,101.54196166992188,15.955971717834473,2968,2740,3052
38,-29557.189160746922,28469.449361273255,295014.8985373966,108773.97994736736,0.12124999999999997,0.09750000000000003,57.5,332880,82721,332,2.249296779692445,4.296778678894043,101.56690216064453,101.25726318359375,15.682942390441895,2830,3116,2814
