episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
1,-31862.703233514836,30401.396447669944,299598.0395789483,146130.6785844871,1.0,0.97625,27.43368421052631,8760,1691,8,0.7458866670516241,4.75600528717041,46.430877685546875,55.5257568359375,8.79253101348877,2957,2856,2947
2,-31745.83488674377,30329.57169585737,299438.8376869814,141626.31908864193,0.97625,0.9525,95.0,17520,3881,17,1.567849996549898,3.2392067909240723,73.89176177978516,82.84783172607422,14.298105239868164,2941,2954,2865
3,-31738.984700946392,30336.44619191597,299370.4807174524,140253.85090304652,0.9525,0.92875,79.27789473684211,26280,6071,26,1.8593148553752463,3.758650302886963,81.55012512207031,90.1351547241211,14.48078727722168,2898,2969,2893
4,-31713.714258761473,30302.451940008086,299319.6126648212,141126.2318753457,0.92875,0.905,62.98736842105263,35040,8261,35,1.9233513829098445,3.704601287841797,91.52386474609375,100.98793029785156,15.892087936401367,2875,2952,2933
5,-31588.435714451112,30218.675230933106,299238.3162132972,136976.0483517997,0.905,0.88125,95.0,43800,10451,43,2.0592076019609356,3.8609507083892822,94.39564514160156,102.66664123535156,14.792771339416504,2914,3011,2835
6,-31563.651418971695,30170.347884068666,299290.71338781225,139330.35349030394,0.88125,0.8575,60.69578947368421,52560,12641,52,2.020971175769693,4.0481343269348145,100.43517303466797,105.28999328613281,16.53252410888672,2907,2989,2864
7,-31562.665276939464,30178.8609527012,299175.89064542996,138380.43242382223,0.8575,0.83375,10.0,61320,14831,61,2.034667765468223,4.036319732666016,98.95042419433594,105.20646667480469,17.393590927124023,2903,3090,2767
8,-31497.858216085435,30121.583045559146,299145.8175678681,137627.51705263092,0.83375,0.81,95.0,70080,17021,70,2.1049244698596326,4.091529846191406,102.19351196289062,108.21708679199219,18.57021713256836,2833,3085,2842
9,-31422.642127543142,30053.241762557023,298873.9049168984,136940.03649861438,0.81,0.78625,10.0,78840,19211,78,2.1150968430249115,4.106349945068359,98.66622924804688,107.52865600585938,18.40895652770996,2875,2942,2943
10,-31332.000771983447,29992.888772952992,298963.2668144057,133911.1999030467,0.78625,0.7625,95.0,87600,21401,87,2.1021889118026924,4.153613090515137,102.42504119873047,103.59857177734375,20.85076332092285,2820,3059,2881
11,-31335.040721988327,30005.424256503553,298758.51298892073,132961.64654847563,0.7625,0.73875,10.0,96360,23591,96,2.1353114560586675,3.9109385013580322,105.70294189453125,102.73246002197266,16.974502563476562,2999,3008,2753
12,-31268.287715706247,30021.216591661883,298517.92184764653,124707.11240443136,0.73875,0.7150000000000001,60.69578947368421,105120,25781,105,2.0576054242647945,3.9447731971740723,107.89925384521484,103.52244567871094,17.535839080810547,2832,3025,2903
13,-31213.61728071009,29905.01335328627,298497.9781191146,130860.39274238139,0.7150000000000001,0.69125,10.0,113880,27971,113,2.040226284989483,3.7018561363220215,105.945556640625,103.53660583496094,19.232995986938477,3077,2972,2711
14,-31163.815762364597,29877.73136380493,298542.93159556884,128608.43985595477,0.69125,0.6675,10.0,122640,30161,122,2.0446234343530927,3.7829999923706055,103.06138610839844,103.01687622070312,17.797760009765625,2983,2954,2823
15,-31051.164832518025,29790.33635861217,298365.96058171813,126082.84739058085,0.6675,0.64375,10.0,131400,32351,131,2.1287676060036436,4.150924205780029,105.78939056396484,104.07525634765625,17.25716781616211,2920,2935,2905
16,-30995.330746597414,29775.207698924263,298311.94411357434,122012.30476731222,0.64375,0.62,10.0,140160,34541,140,2.118145365421086,4.18008279800415,109.05841827392578,104.82984161376953,18.54014778137207,2681,3051,3028
17,-30844.949375027947,29610.22313788105,298248.73498338094,123472.62371468067,0.62,0.59625,10.0,148920,36731,148,2.0656282148404754,3.963449001312256,102.39471435546875,103.24945068359375,15.878495216369629,2750,2946,3064
18,-30857.954994107524,29605.15125906594,298363.8003822727,125280.37350415414,0.59625,0.5725,57.5,157680,38921,157,2.0413750170844875,3.851945400238037,99.70094299316406,102.70052337646484,17.5352840423584,2872,2987,2901
19,-30836.140780858543,29650.713730221454,298121.92871191207,118542.70506371108,0.5725,0.5487500000000001,57.5,166440,41111,166,2.0810006589922185,3.8200695514678955,100.07062530517578,102.08811950683594,18.479402542114258,2547,3002,3211
20,-30676.68964810768,29473.416051293425,297611.087476455,120327.35968143973,0.5487500000000001,0.525,57.5,175200,43301,175,2.125078176662802,4.135035037994385,98.38674926757812,101.00076293945312,19.91128921508789,2590,3047,3123
21,-30778.35042555802,29541.89472525332,298160.69207756344,123645.57003047026,0.525,0.50125,77.33157894736843,183960,45491,183,2.110983615596545,4.10044002532959,101.50962829589844,103.57686614990234,20.525922775268555,2710,2918,3132
22,-30597.89288820046,29437.671038532884,297897.42165374086,116022.18496675808,0.50125,0.47750000000000004,10.0,192720,47681,192,2.0973666227571495,4.277287483215332,98.92794036865234,100.43577575683594,17.802265167236328,2559,2839,3362
23,-30519.96947558537,29413.130679740436,297464.7479335188,110683.8795844869,0.47750000000000004,0.4537500000000001,10.0,201480,49871,201,2.0990008583896236,4.194113731384277,98.96023559570312,99.95166015625,19.49519157409668,2564,2997,3199
24,-30497.73130714574,29380.78829398778,297568.57497507124,111694.30131578889,0.4537500000000001,0.43000000000000005,31.777894736842107,210240,52061,210,2.1312549660194953,3.9314491748809814,99.56511688232422,99.65095520019531,20.948068618774414,2527,2995,3238
25,-30490.352562288022,29398.794176360076,297520.5092493083,109155.83859279717,0.43000000000000005,0.40625,72.98736842105262,219000,54251,219,2.219709652662277,4.131597995758057,100.96536254882812,101.68123626708984,21.49681282043457,2423,3044,3293
