Strategy,raw_electricity_cost_eur,terminal_soc_adjusted_cost_eur,adjusted_cost_savings_eur,adjusted_cost_savings_pct,total_grid_energy_purchased_kwh,pv_self_consumption_pct,pv_surplus_captured_pct,pv_curtailed_kwh,pv_to_battery_kwh,grid_to_battery_kwh,battery_throughput_kwh,equivalent_full_cycles,efc_per_day,peak_grid_import_kwh_per_hour,initial_soc_kwh,final_soc_kwh,degradation_penalty_eur,total_rl_reward_eur
No Battery,29881.60684693,29881.60684693,0.0,0.0,292736.997,91.92634869452267,0.0,9558.661,0.0,0.0,0.0,0.0,0.0,71.364,0.0,0.0,0.0,-29881.60684693
Rule-Based,28679.9864742241,28684.04100053989,1197.565846390109,4.007702305049052,295188.52650415513,92.3579800751682,5.34617317882828,9047.63842936288,511.0225706371191,30263.87050415512,58587.23407479224,292.9361703739612,0.8025648503396198,115.833,50.0,10.0,585.8723407479224,-29265.858814972024
Q-Learning,29877.61255243,29881.66707874579,-0.0602318157907575,-0.0002015681957777,292698.997,91.92634869452267,0.0,9558.661,0.0,0.0,38.0,0.19,0.0005205479452054,71.364,50.0,10.0,0.38,-29877.99255243
DQN,28246.3496717046,28250.40419802039,1631.2026489096097,5.458885317866357,294132.11373961216,95.49796564654751,44.23793915402078,5330.106362880886,4228.554637119114,53839.869739612186,110513.1773767313,552.5658868836565,1.513879142147004,116.395,50.0,10.0,1105.131773767313,-29351.481445471916
