episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon_start,epsilon,final_soc_kwh,training_steps,gradient_updates,target_syncs,mean_training_loss,max_training_loss,max_abs_q,max_abs_target,max_gradient_norm_before_clip,discharge_requests,hold_requests,charge_requests
21,-30720.97238093175,29567.83037877106,298239.63699723175,115314.20021606583,0.525,0.50125,95.0,183960,45491,183,2.2255839725607607,4.315062046051025,102.21092987060547,104.06111145019531,17.055044174194336,2620,3133,3007
22,-30518.502433234877,29365.291775644837,297380.8273241005,115321.06575900226,0.50125,0.47750000000000004,10.0,192720,47681,192,2.2702336644473142,4.6229023933410645,104.14893341064453,100.29786682128906,18.85657501220703,2702,3161,2897
23,-30513.845987574914,29406.530077353276,297778.68289750797,110731.59102215995,0.47750000000000004,0.4537500000000001,95.0,201480,49871,201,2.13672851427505,4.231948375701904,101.85308074951172,107.01615905761719,16.93423080444336,2524,3330,2906
24,-30356.253012602952,29294.82047279682,297419.6617922448,106143.25398060888,0.4537500000000001,0.43000000000000005,10.0,210240,52061,210,2.2122725209416862,4.269855976104736,104.4030532836914,101.15301513671875,19.446941375732422,2442,3259,3059
25,-30349.177348308072,29248.76111841887,297557.73200554145,110041.62298891887,0.43000000000000005,0.40625,10.0,219000,54251,219,2.195286434453372,4.080261707305908,101.81393432617188,107.87464904785156,17.045185089111328,2376,3323,3061
26,-30314.157292110107,29273.630139035446,297287.80296953063,104052.71530747866,0.40625,0.38250000000000006,10.0,227760,56441,227,2.1830516569418448,4.345735549926758,104.77226257324219,107.71614074707031,15.918680191040039,2374,3390,2996
27,-30246.871058341218,29236.257002357925,297474.0373462608,101061.40559833717,0.38250000000000006,0.35875,10.0,236520,58631,236,2.2176106483424634,4.3541035652160645,108.12734985351562,109.270263671875,16.393404006958008,2284,3313,3163
28,-30279.664420295205,29217.629025142847,297653.24441551423,106203.53951523463,0.35875,0.3350000000000001,10.0,245280,60821,245,2.242511778198965,4.5641188621521,101.18795776367188,99.99491882324219,15.810078620910645,2357,3316,3087
29,-30192.240617679054,29251.967766848,296925.5402160675,94027.28508310205,0.3350000000000001,0.31125,28.683157894736837,254040,63011,254,2.286959575245914,4.697763442993164,102.37606048583984,101.58590698242188,16.00696563720703,2301,3831,2628
30,-30079.94743364477,29135.51425912962,296793.9230332428,94443.31745152299,0.31125,0.2875000000000001,10.0,262800,65201,262,2.2307930399838103,4.661074161529541,104.69830322265625,103.03564453125,15.773465156555176,2344,3950,2466
31,-30014.607434065852,29077.95591669743,296960.4128033254,93665.1517368416,0.2875000000000001,0.26375000000000004,10.0,271560,67391,271,2.239794157112026,4.051061630249023,106.30902099609375,103.18865966796875,15.812716484069824,2475,3726,2559
32,-30034.00784375063,29100.848873695202,296864.2023157904,93315.89700553959,0.26375000000000004,0.24,10.0,280320,69581,280,2.2090775663722053,4.456232070922852,106.8902359008789,102.98348999023438,16.03975486755371,2523,3897,2340
