Strategy,Cost €,Savings %,Adjusted Cost €,Adjusted Savings %,Grid Import kWh,PV Self-Consumption %,EFC,EFC/day
No Battery,29881.60684693,0.0,29881.60684693,0.0,292736.997,91.92634869452267,0.0,0.0
Rule-Based,28679.9864742241,4.021270940553028,28684.04100053989,4.007702305049052,295188.52650415513,92.35798007516821,292.9361703739612,0.8025648503396198
