episode,cumulative_reward,electricity_cost_eur,grid_import_kwh,battery_throughput_kwh,epsilon,final_soc_kwh
126,-30220.41995144273,29674.28907548706,295462.73281440645,54613.087595567915,0.08003122446142442,10.0
127,-30284.20597308544,29689.053669484354,295345.23739889375,59515.23036011084,0.07843059997219594,10.0
128,-30512.122727521975,29902.17717417025,295588.6456980626,60994.55533518007,0.07686198797275202,10.0
129,-30936.677709441137,30079.690433596254,297185.8169473699,85698.7275844873,0.07532474821329699,10.0
130,-30455.87137356022,29905.491819848292,295491.030421054,55037.95537119114,0.07381825324903105,10.0
131,-30459.685171688532,29844.655442685704,295596.8082354583,61502.97290027701,0.07234188818405042,10.0
132,-30934.32277379004,30071.46629071519,296753.5536897518,86285.64830747878,0.07089505042036941,10.0
133,-30702.835371900605,29838.29338976768,295788.56949861575,86454.19821329624,0.06947714941196202,10.0
134,-30765.20431359723,29709.247010688636,297013.9309889208,105595.73029085794,0.06808760642372277,10.0
135,-30316.574221067305,29683.264660734883,295018.7627313034,63330.956033241026,0.06672585429524831,10.0
136,-30613.2654770872,29667.143957668864,297007.7083351817,94612.15194182801,0.06539133720934334,10.0
137,-30871.198566504547,29893.189861185932,297199.8488670372,97800.87053185531,0.06408351046515648,10.0
138,-30639.810411475977,29807.94939516023,296989.7594487546,83186.10163157865,0.06280184025585335,10.0
139,-30524.322952188846,29778.56832268748,296585.01854847756,74575.46295013843,0.061545803450736285,23.70842105263157
140,-30734.039852826092,29727.925225152947,297598.70022437756,100611.46276731233,0.060314887381721555,10.0
141,-30502.79263842451,29774.495521859313,296505.80828254955,72829.71165650967,0.05910858963408712,10.0
142,-30429.08422412366,29769.92062686604,295994.3440637132,65916.35972576175,0.05792641784140538,10.0
143,-30827.47138885962,29863.114433291783,297659.0412326883,96435.69555678632,0.05676788948457727,10.0
144,-31078.984940495793,29859.980478501333,298504.0972299188,121900.44619944545,0.055632531694885724,10.0
145,-30592.951721428086,29515.084069101234,298230.90332410164,107786.76523268626,0.054519881060988006,10.0
146,-30649.695250606546,29677.478851465257,297014.29043213365,97221.63991412715,0.05342948343976824,10.0
