Strategy,total_electricity_cost_eur,cost_savings_eur,cost_savings_pct,total_grid_energy_purchased_kwh,pv_self_consumption_pct,battery_throughput_kwh,equivalent_full_cycles,peak_grid_import_kwh_per_hour,initial_soc_kwh,final_soc_kwh,net_soc_change_kwh,pv_to_battery_kwh,grid_to_battery_kwh,unused_discharge_kwh,pv_curtailed_kwh,battery_losses_kwh,degradation_penalty_eur,raw_electricity_cost_eur,terminal_reference_price_eur_kwh,terminal_soc_adjustment_eur,terminal_soc_adjusted_cost_eur,adjusted_cost_savings_eur,adjusted_cost_savings_pct,pv_generation_kwh,pv_surplus_kwh,pv_surplus_hours,evaluation_days,efc_per_day,total_rl_reward_eur,cost_plus_penalty_eur,adjusted_cost_plus_penalty_eur
No Battery,29881.60684693,0.0,0.0,292736.997,91.92634869452267,0.0,0.0,71.364,0.0,0.0,0.0,0.0,0.0,0.0,9558.661,0.0,0.0,29881.60684693,0.09629499999999999,0.0,29881.60684693,0.0,0.0,118393.285,9558.661,574,365.0,0.0,-29881.60684693,29881.60684693,29881.60684693
Rule-Based,28679.9864742241,1201.6203727059,4.021270940553028,295188.52650415513,92.35798007516821,58587.23407479224,292.9361703739612,115.833,50.0,10.0,-40.0,511.0225706371191,30263.870504155122,0.0,9047.63842936288,3002.5520747922433,585.8723407479224,28679.9864742241,0.09629499999999999,4.054526315789474,28684.04100053989,1197.565846390109,4.007702305049052,118393.285,9558.661,574,365.0,0.8025648503396198,-29265.858814972024,29265.858814972024,29269.913341287815
